class,gt,pred,TP,FP,FN,precision,recall,f1,mean_cas_on_matches,mean_oc_on_matches,mean_ar_on_matches,area_a,area_b,area_intersection
Architecture normal,1,0,,,,0.0,0.0,nan,0.0,0.0,inf,9911586.0,0.0,0.0
Basal Plasmacytosis,5,0,,,,0.0,0.0,nan,0.0,0.0,inf,1935641.0,0.0,0.0
Basal lymphoid aggregates,2,0,,,,0.0,0.0,nan,0.0,0.0,inf,3313362.0,0.0,0.0
Basal plasmacytosis,0,1,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,1099189.0,0.0
Focal crypt distortion (50% area of each fragment),0,1,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,196743351.0,0.0
Marked (>50%) crypt distortion,5,0,,,,0.0,0.0,nan,0.0,0.0,inf,172479339.0,0.0,0.0
Moderate to marked mononuclear aggregates,0,2,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,18961052.0,0.0
Moderate to marked mononuclear cell infiltrate,10,0,,,,0.0,0.0,nan,0.0,0.0,inf,5614336.0,0.0,0.0
No ulcer/ mild activity (occasional neutrophils in LM or epithe),11,0,,,,0.0,0.0,nan,0.0,0.0,inf,648772.0,0.0,0.0
No ulcer/Moderate to severe activity (clusters),10,0,,,,0.0,0.0,nan,0.0,0.0,inf,5883392.0,0.0,0.0
Ulcer/ erosions,0,4,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,27489605.0,0.0
unknown,0,9,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,235828655.0,0.0
