class,gt,pred,TP,FP,FN,precision,recall,f1,mean_cas_on_matches,mean_oc_on_matches,mean_ar_on_matches,area_a,area_b,area_intersection
Basal Plasmacytosis,14,14,,,,0.04630896436098063,0.019232427734041012,0.027177750793562747,0.042048051644848074,0.04630896436098063,2.40785848782963,9438538.0,3919889.0,181526.0
Basal lymphoid aggregates,2,2,,,,0.7010659800641466,0.32295811971260235,0.4422062933193683,0.6503485860404495,0.7010659800641466,2.170764372445626,1317756.0,607047.0,425580.0
Crypt abscess,6,5,,,,0.8679692683390854,0.6278872783270533,0.7286619332362866,0.8566683514489166,0.8679692683390854,1.382364794285541,4606674.0,3332459.0,2892472.0
Marked (>50%) crypt distortion,23,9,,,,0.9287064367582749,0.6365912935702654,0.755391668266067,0.9122954055259489,0.9287064367582749,1.4588739213659485,303619564.0,208119125.0,193281571.0
Moderate to marked mononuclear cell infiltrate,34,35,,,,0.35445787526681594,0.34777136072159553,0.35108278403282095,0.35444180612012294,0.35445787526681594,1.0192267544151608,15280804.0,14992546.0,5314226.0
No/ mild mononuclear cell infiltrate,1,0,,,,0.0,0.0,nan,0.0,0.0,inf,62620.0,0.0,0.0
Ulcer/ erosion,23,18,,,,0.10229508985917014,0.07839664425423473,0.08876545247621696,0.10139378698081226,0.10229508985917014,1.3048401603445483,4445152.0,3406664.0,348485.0
unknown,1,0,,,,0.0,0.0,nan,0.0,0.0,inf,123467.0,0.0,0.0
