case_id,n_a,n_b,n_matches,precision_b_vs_a,recall_b_vs_a,f1,mean_iou_on_matches,merged_count
2224413,49,67,11,0.16417910447761194,0.22448979591836735,0.18965517241379312,0.6223422198209305,94
2346175,41,82,16,0.1951219512195122,0.3902439024390244,0.26016260162601623,0.6206692753772761,98
2356047,27,42,0,0.0,0.0,0.0,0.0,68
2385991,40,60,11,0.18333333333333332,0.275,0.21999999999999997,0.6175663112630201,79
S2415106A01,83,104,24,0.23076923076923078,0.2891566265060241,0.25668449197860965,0.6286897983754818,142
