class,gt,pred,TP,FP,FN,precision,recall,f1,mean_cas_on_matches,mean_oc_on_matches,mean_ar_on_matches,area_a,area_b,area_intersection
Architecture normal,0,2,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,15460771.0,0.0
Basal Plasmacytosis,16,8,,,,0.0,0.0,nan,0.0,0.0,2.812191922314286,3730007.0,1326370.0,0.0
Basal lymphoid aggregates,5,6,,,,0.8241901270357156,0.30453973568892884,0.4447452871300757,0.7281440525480093,0.8241901270357156,2.7063467602059723,8508535.0,3143919.0,2591187.0
Crypt abscess,1,1,,,,0.8769633507853403,0.8587183308494784,0.867744947441342,0.8769148978637824,0.8769633507853403,1.0212468038475588,436150.0,427076.0,374530.0
Focal (<50%) crypt distortion,0,7,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,76547712.0,0.0
Marked (>50%) crypt distortion,7,0,,,,0.0,0.0,nan,0.0,0.0,inf,140751616.0,0.0,0.0
Moderate to marked mononuclear cell infiltrate,29,13,,,,0.18178738934155794,0.24059872020455017,0.20709872903683002,0.23824748508500332,0.24059872020455017,1.323517110158243,7222873.0,9559596.0,1737814.0
No/ mild mononuclear cell infiltrate,15,0,,,,0.0,0.0,nan,0.0,0.0,inf,3146452.0,0.0,0.0
Ulcer/ erosion,9,4,,,,0.12266098489675456,0.08244145094761075,0.09860779593300209,0.12026406239569136,0.12266098489675456,1.4878557265410357,1167568.0,784732.0,96256.0
