class,gt,pred,TP,FP,FN,precision,recall,f1,mean_cas_on_matches,mean_oc_on_matches,mean_ar_on_matches,area_a,area_b,area_intersection
Basal Plasmacytosis,8,0,,,,0.0,0.0,nan,0.0,0.0,inf,5720112.0,0.0,0.0
Basal lymphoid aggregates,3,0,,,,0.0,0.0,nan,0.0,0.0,inf,2759319.0,0.0,0.0
Basal plasmacytosis,0,2,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,5200807.0,0.0
Crypt absces,0,2,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,1849758.0,0.0
Crypt abscess,1,0,,,,0.0,0.0,nan,0.0,0.0,inf,315268.0,0.0,0.0
Diffuse crypt distortion (>50% area in each fragment),0,1,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,238045756.0,0.0
Marked (>50%) crypt distortion,4,0,,,,0.0,0.0,nan,0.0,0.0,inf,138646784.0,0.0,0.0
Moderate to marked mononuclear cell infiltrate,28,0,,,,0.0,0.0,nan,0.0,0.0,inf,15447864.0,0.0,0.0
No ulcer/ moderate to severe activity,0,6,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,88040544.0,0.0
No/ mild mononuclear cell infiltrate,2,0,,,,0.0,0.0,nan,0.0,0.0,inf,510517.0,0.0,0.0
No/mild mononuclear aggregates,0,2,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,5886532.0,0.0
Ulcer/ erosion,14,0,,,,0.0,0.0,nan,0.0,0.0,inf,2711692.0,0.0,0.0
Ulcer/ erosions,0,3,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,8090569.0,0.0
unknown,0,7,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,36263278.0,0.0
