class,gt,pred,TP,FP,FN,precision,recall,f1,mean_cas_on_matches,mean_oc_on_matches,mean_ar_on_matches,area_a,area_b,area_intersection
Architecture normal,2,0,,,,0.0,0.0,nan,0.0,0.0,inf,20015365.0,0.0,0.0
Basal Plasmacytosis,3,0,,,,0.0,0.0,nan,0.0,0.0,inf,2905064.0,0.0,0.0
Basal lymphoid aggregates,1,1,,,,1.0,0.08586890896827505,0.15815704503384728,0.4707927577240243,1.0,11.645658620973721,5654666.0,485560.0,485560.0
Crypt abscess,1,0,,,,0.0,0.0,nan,0.0,0.0,inf,89838.0,0.0,0.0
Focal (<50%) crypt distortion,0,2,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,57945585.0,0.0
Marked (>50%) crypt distortion,2,1,,,,0.9242510713702788,0.3319191715703122,0.48843164635719694,0.8106919425445803,0.9242510713702788,2.7845666973608054,59983944.0,21541572.0,19909821.0
Moderate to marked mononuclear cell infiltrate,9,5,,,,0.19068145561843222,0.22655775299615116,0.20707719327908522,0.2257176452672148,0.22655775299615116,1.18814780525648,2259649.0,2684797.0,511941.0
No/ mild mononuclear cell infiltrate,20,12,,,,0.40907864693120183,0.5065464156551862,0.452624836936512,0.503662823120803,0.5065464156551862,1.238261687465629,3038533.0,3762499.0,1539158.0
Ulcer/ erosion,4,3,,,,0.3290635692785049,0.2832142447003774,0.30442223482177794,0.3281387962108583,0.3290635692785049,1.1618891896720558,2055052.0,1768716.0,582020.0
