class,gt,pred,TP,FP,FN,precision,recall,f1,mean_cas_on_matches,mean_oc_on_matches,mean_ar_on_matches,area_a,area_b,area_intersection
Basal Plasmacytosis,3,0,0,0,3,nan,0.0,nan,nan,nan,nan,,,
Basal lymphoid aggregates,0,1,0,1,0,0.0,nan,nan,nan,nan,nan,,,
Marked (>50%) crypt distortion,1,0,0,0,1,nan,0.0,nan,nan,nan,nan,,,
Moderate to marked mononuclear cell infiltrate,5,6,3,1,0,0.75,1.0,0.8571428571428571,0.8942344310412439,0.9443691698469344,1.868520579813447,,,
Ulcer/ erosion,4,4,1,3,3,0.25,0.25,0.25,0.9520978715001199,1.0,1.871345029239766,,,
