class,gt,pred,TP,FP,FN,precision,recall,f1,mean_cas_on_matches,mean_oc_on_matches,mean_ar_on_matches,area_a,area_b,area_intersection
Basal Plasmacytosis,8,10,,,,0.0,0.0,nan,0.0,0.0,2.0812993457498115,5720112.0,2748337.0,0.0
Basal lymphoid aggregates,3,2,,,,0.7277906048816003,0.260115629979716,0.3832544122138709,0.6375848011965297,0.7277906048816003,2.797950299789189,2759319.0,986193.0,717742.0
Crypt abscess,1,2,,,,0.0,0.0,nan,0.0,0.0,6.565005011609171,315268.0,2069736.0,0.0
Marked (>50%) crypt distortion,4,4,,,,0.921916344002585,0.5784756824940129,0.7108891234840081,0.8972219179572768,0.921916344002585,1.5936993929077157,138646784.0,86996823.0,80203793.0
Moderate to marked mononuclear cell infiltrate,28,17,,,,0.44895032809500013,0.43575500146816415,0.4422542610312199,0.4489003877477464,0.44895032809500013,1.0302815265054395,15447864.0,14993828.0,6731484.0
No/ mild mononuclear cell infiltrate,2,0,,,,0.0,0.0,nan,0.0,0.0,inf,510517.0,0.0,0.0
Ulcer/ erosion,14,5,,,,0.276962718244767,0.13500943322471726,0.18152964699786414,0.259652903634837,0.276962718244767,2.0514323453515635,2711692.0,1321853.0,366104.0
