class,gt,pred,TP,FP,FN,precision,recall,f1,mean_cas_on_matches,mean_oc_on_matches,mean_ar_on_matches,area_a,area_b,area_intersection
Basal lymphoid aggregates,3,3,,,,0.9623451679886957,0.25973085482144054,0.40905922127533545,0.7766190906357909,0.9623451679886957,3.705163056773858,3786358.0,1021914.0,983434.0
Marked (>50%) crypt distortion,3,3,,,,0.856373297449637,0.6889938685566183,0.7636191115193198,0.8513254674654982,0.856373297449637,1.2429331181766012,63807488.0,51336220.0,43962968.0
Moderate to marked mononuclear cell infiltrate,22,3,,,,0.48071835505205945,0.11728200290287356,0.18856046075119295,0.3748485814019879,0.48071835505205945,4.098824569445354,5007452.0,1221680.0,587284.0
No/ mild mononuclear cell infiltrate,9,8,,,,0.10268749023290291,0.37346732455147647,0.16108383681704286,0.30321742857918044,0.37346732455147647,3.6369310780156825,994095.0,3615455.0,371262.0
Ulcer/ erosion,4,6,,,,0.1131279168828595,0.26903029955896673,0.15927872832801176,0.2449400544405982,0.26903029955896673,2.3781070753520495,611065.0,1453178.0,164395.0
