class,gt,pred,TP,FP,FN,precision,recall,f1,mean_cas_on_matches,mean_oc_on_matches,mean_ar_on_matches,area_a,area_b,area_intersection
Architecture normal,1,0,0,0,1,nan,0.0,nan,nan,nan,nan,,,
Basal Plasmacytosis,5,0,0,0,5,nan,0.0,nan,nan,nan,nan,,,
Basal lymphoid aggregates,2,0,0,0,2,nan,0.0,nan,nan,nan,nan,,,
Basal plasmacytosis,0,1,0,1,0,0.0,nan,nan,nan,nan,nan,,,
Focal crypt distortion (50% area of each fragment),0,1,0,1,0,0.0,nan,nan,nan,nan,nan,,,
Marked (>50%) crypt distortion,5,0,0,0,5,nan,0.0,nan,nan,nan,nan,,,
Moderate to marked mononuclear aggregates,0,2,0,2,0,0.0,nan,nan,nan,nan,nan,,,
Moderate to marked mononuclear cell infiltrate,10,0,0,0,10,nan,0.0,nan,nan,nan,nan,,,
No ulcer/ mild activity (occasional neutrophils in LM or epithe),11,0,0,0,11,nan,0.0,nan,nan,nan,nan,,,
No ulcer/Moderate to severe activity (clusters),10,0,0,0,10,nan,0.0,nan,nan,nan,nan,,,
Ulcer/ erosions,0,4,0,4,0,0.0,nan,nan,nan,nan,nan,,,
unknown,0,9,0,9,0,0.0,nan,nan,nan,nan,nan,,,
