class,gt,pred,TP,FP,FN,precision,recall,f1,mean_cas_on_matches,mean_oc_on_matches,mean_ar_on_matches,area_a,area_b,area_intersection
Architecture normal,4,0,,,,0.0,0.0,nan,0.0,0.0,inf,14432817.0,0.0,0.0
Basal Plasmacytosis,6,0,,,,0.0,0.0,nan,0.0,0.0,inf,1369518.0,0.0,0.0
Basal lymphoid aggregates,1,0,,,,0.0,0.0,nan,0.0,0.0,inf,381124.0,0.0,0.0
Focal (<50%) crypt distortion,5,0,,,,0.0,0.0,nan,0.0,0.0,inf,66219872.0,0.0,0.0
Marked (>50%) crypt distortion,1,0,,,,0.0,0.0,nan,0.0,0.0,inf,14249949.0,0.0,0.0
Moderate to marked mononuclear cell infiltrate,23,0,,,,0.0,0.0,nan,0.0,0.0,inf,6541227.0,0.0,0.0
No ulcer/ mild activity,0,3,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,150566174.0,0.0
No/ mild mononuclear cell infiltrate,1,0,,,,0.0,0.0,nan,0.0,0.0,inf,309573.0,0.0,0.0
Ulcer/ erosion,8,0,,,,0.0,0.0,nan,0.0,0.0,inf,3504393.0,0.0,0.0
unknown,0,3,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,341839564.0,0.0
