class,gt,pred,TP,FP,FN,precision,recall,f1,mean_cas_on_matches,mean_oc_on_matches,mean_ar_on_matches,area_a,area_b,area_intersection
Architecture normal,4,0,0,0,4,nan,0.0,nan,nan,nan,nan,,,
Basal Plasmacytosis,6,0,0,0,6,nan,0.0,nan,nan,nan,nan,,,
Basal lymphoid aggregates,1,0,0,0,1,nan,0.0,nan,nan,nan,nan,,,
Focal (<50%) crypt distortion,5,0,0,0,5,nan,0.0,nan,nan,nan,nan,,,
Marked (>50%) crypt distortion,1,0,0,0,1,nan,0.0,nan,nan,nan,nan,,,
Moderate to marked mononuclear cell infiltrate,23,0,0,0,23,nan,0.0,nan,nan,nan,nan,,,
No ulcer/ mild activity,0,3,0,3,0,0.0,nan,nan,nan,nan,nan,,,
No/ mild mononuclear cell infiltrate,1,0,0,0,1,nan,0.0,nan,nan,nan,nan,,,
Ulcer/ erosion,8,0,0,0,8,nan,0.0,nan,nan,nan,nan,,,
unknown,0,3,0,3,0,0.0,nan,nan,nan,nan,nan,,,
