class,gt,pred,TP,FP,FN,precision,recall,f1,mean_cas_on_matches,mean_oc_on_matches,mean_ar_on_matches,area_a,area_b,area_intersection
Basal Plasmacytosis,4,0,0,0,4,nan,0.0,nan,nan,nan,nan,,,
Basal lymphoid aggregates,2,0,0,0,2,nan,0.0,nan,nan,nan,nan,,,
Diffuse crypt distortion (>50% area in each fragment),0,1,0,1,0,0.0,nan,nan,nan,nan,nan,,,
Focal (<50%) crypt distortion,1,0,0,0,1,nan,0.0,nan,nan,nan,nan,,,
Marked (>50%) crypt distortion,2,0,0,0,2,nan,0.0,nan,nan,nan,nan,,,
Moderate to marked mononuclear cell infiltrate,12,0,0,0,12,nan,0.0,nan,nan,nan,nan,,,
No ulcer/ moderate to severe activity,0,1,0,1,0,0.0,nan,nan,nan,nan,nan,,,
Ulcer/ erosion,6,0,0,0,6,nan,0.0,nan,nan,nan,nan,,,
Ulcer/ erosions,0,6,0,6,0,0.0,nan,nan,nan,nan,nan,,,
unknown,0,8,0,8,0,0.0,nan,nan,nan,nan,nan,,,
