class,gt,pred,TP,FP,FN,precision,recall,f1,mean_cas_on_matches,mean_oc_on_matches,mean_ar_on_matches,area_a,area_b,area_intersection
Basal Plasmacytosis,16,0,0,0,16,nan,0.0,nan,nan,nan,nan,,,
Basal lymphoid aggregates,5,1,1,0,4,1.0,0.2,0.33333333333333337,0.9462465927680423,0.9725490196078431,1.5973333333333333,,,
Basal plasmacytosis,0,4,0,4,0,0.0,nan,nan,nan,nan,nan,,,
Crypt absces,0,1,0,1,0,0.0,nan,nan,nan,nan,nan,,,
Crypt abscess,1,0,0,0,1,nan,0.0,nan,nan,nan,nan,,,
Focal crypt distortion (50% area of each fragment),0,3,0,3,0,0.0,nan,nan,nan,nan,nan,,,
Marked (>50%) crypt distortion,7,0,0,0,7,nan,0.0,nan,nan,nan,nan,,,
Moderate to marked mononuclear aggregates,0,2,0,2,0,0.0,nan,nan,nan,nan,nan,,,
Moderate to marked mononuclear cell infiltrate,29,0,0,0,29,nan,0.0,nan,nan,nan,nan,,,
No ulcer/ moderate to severe activity,0,4,0,4,0,0.0,nan,nan,nan,nan,nan,,,
No/ mild mononuclear cell infiltrate,15,0,0,0,15,nan,0.0,nan,nan,nan,nan,,,
No/mild mononuclear aggregates,0,3,0,3,0,0.0,nan,nan,nan,nan,nan,,,
Ulcer/ erosion,9,0,0,0,9,nan,0.0,nan,nan,nan,nan,,,
Ulcer/ erosions,0,3,0,3,0,0.0,nan,nan,nan,nan,nan,,,
unknown,0,22,0,22,0,0.0,nan,nan,nan,nan,nan,,,
