class,gt,pred,TP,FP,FN,precision,recall,f1,mean_cas_on_matches,mean_oc_on_matches,mean_ar_on_matches,area_a,area_b,area_intersection
Basal Plasmacytosis,4,0,,,,0.0,0.0,nan,0.0,0.0,inf,932334.0,0.0,0.0
Basal lymphoid aggregates,7,3,,,,0.5066857459864662,0.30959262389115233,0.38434479064222743,0.49154573646695515,0.5066857459864662,1.6366208587857332,4236380.0,2588492.0,1311552.0
Basal plasmacytosis,0,4,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,7553212.0,0.0
Crypt absces,0,2,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,723698.0,0.0
Crypt abscess,6,0,,,,0.0,0.0,nan,0.0,0.0,inf,4863180.0,0.0,0.0
Diffuse crypt distortion (>50% area in each fragment),0,1,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,120526545.0,0.0
Focal (<50%) crypt distortion,2,0,,,,0.0,0.0,nan,0.0,0.0,inf,37381749.0,0.0,0.0
Marked (>50%) crypt distortion,3,0,,,,0.0,0.0,nan,0.0,0.0,inf,49176997.0,0.0,0.0
Moderate to marked mononuclear aggregates,0,2,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,2946705.0,0.0
Moderate to marked mononuclear cell infiltrate,21,0,,,,0.0,0.0,nan,0.0,0.0,inf,16800057.0,0.0,0.0
No ulcer/ mild activity,0,1,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,28050.0,0.0
No ulcer/ moderate to severe activity,0,5,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,39082387.0,0.0
Ulcer/ erosion,11,0,,,,0.0,0.0,nan,0.0,0.0,inf,6675693.0,0.0,0.0
Ulcer/ erosions,0,10,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,66745810.0,0.0
unknown,0,26,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,169655295.0,0.0
